level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	34	1	1	0	1130	853	103	19	-1	
5	1	34	1	1	1	1130	853	103	19	90.933121	COGNITO
2	1	35	0	0	0	83	897	274	21	-1	
3	1	35	1	0	0	83	897	274	21	-1	
4	1	35	1	1	0	83	897	274	21	-1	
5	1	35	1	1	1	83	899	56	18	96.917503	RARE
5	1	35	1	1	2	148	899	105	19	96.605667	Revolution
5	1	35	1	1	3	262	897	74	21	96.768623	insider
5	1	35	1	1	4	343	904	14	14	96.768623	is
2	1	36	0	0	0	1130	887	273	20	-1	
3	1	36	1	0	0	1130	887	273	20	-1	
4	1	36	1	1	0	1130	887	273	20	-1	
5	1	36	1	1	1	1130	887	99	19	92.730377	Al-powered
5	1	36	1	1	2	1237	887	104	19	96.932167	professional
5	1	36	1	1	3	1348	887	55	20	97.001015	insight
2	1	37	0	0	0	82	934	334	19	-1	
3	1	37	1	0	0	82	934	334	19	-1	
4	1	37	1	1	0	82	934	334	19	-1	
5	1	37	1	1	1	82	934	31	19	97.006912	the
5	1	37	1	1	2	122	934	29	19	96.919083	life
5	1	37	1	1	3	159	940	85	13	96.907265	sciences
5	1	37	1	1	4	251	934	36	19	96.920143	and
5	1	37	1	1	5	296	940	38	13	96.737221	rare
5	1	37	1	1	6	342	934	74	19	96.400131	disease
2	1	38	0	0	0	1131	939	259	18	-1	
3	1	38	1	0	0	1131	939	259	18	-1	
4	1	38	1	1	0	1131	939	259	18	-1	
5	1	38	1	1	1	1131	939	86	18	96.702194	EXPERT
5	1	38	1	1	2	1227	939	163	18	96.072609	INTELLIGENCE
2	1	39	0	0	0	83	969	307	24	-1	
3	1	39	1	0	0	83	969	307	24	-1	
4	1	39	1	1	0	83	969	307	24	-1	
5	1	39	1	1	1	83	970	36	18	96.890015	hub
5	1	39	1	1	2	127	969	28	19	96.897835	for
5	1	39	1	1	3	163	969	132	24	96.852066	professionals.
5	1	39	1	1	4	308	970	32	18	96.852066	We
5	1	39	1	1	5	348	970	42	23	96.773247	help
2	1	40	0	0	0	1130	972	280	20	-1	
3	1	40	1	0	0	1130	972	280	20	-1	
4	1	40	1	1	0	1130	972	280	20	-1	
5	1	40	1	1	1	1130	972	71	20	96.789345	Thought
5	1	40	1	1	2	1209	972	89	20	96.332230	leadership
5	1	40	1	1	3	1304	972	31	16	96.665955	and
5	1	40	1	1	4	1342	972	68	20	96.572128	analysis
2	1	41	0	0	0	82	1004	269	25	-1	
3	1	41	1	0	0	82	1004	269	25	-1	
4	1	41	1	1	0	82	1004	269	25	-1	
5	1	41	1	1	1	82	1011	34	18	97.016548	you
5	1	41	1	1	2	125	1008	41	21	96.778229	stay
5	1	41	1	1	3	174	1011	19	13	96.894867	in
5	1	41	1	1	4	202	1004	32	20	96.817833	the
5	1	41	1	1	5	241	1004	56	20	96.818268	know,
5	1	41	1	1	6	309	1005	42	19	96.987762	with
2	1	42	0	0	0	83	1041	260	23	-1	
3	1	42	1	0	0	83	1041	260	23	-1	
4	1	42	1	1	0	83	1041	260	23	-1	
5	1	42	1	1	1	83	1041	114	23	96.922173	intelligence
5	1	42	1	1	2	204	1041	41	19	96.376144	that
5	1	42	1	1	3	252	1043	91	17	96.376144	connects
2	1	43	0	0	0	1131	1023	159	19	-1	
3	1	43	1	0	0	1131	1023	159	19	-1	
4	1	43	1	1	0	1131	1023	159	19	-1	
5	1	43	1	1	1	1131	1023	48	19	96.731934	LIVE
5	1	43	1	1	2	1189	1023	101	18	96.631157	UPDATES
2	1	44	0	0	0	1131	1056	243	20	-1	
3	1	44	1	0	0	1131	1056	243	20	-1	
4	1	44	1	1	0	1131	1056	243	20	-1	
5	1	44	1	1	1	1131	1057	37	15	96.994339	New
5	1	44	1	1	2	1175	1056	62	16	96.637466	articles
5	1	44	1	1	3	1244	1061	18	11	96.637466	as
5	1	44	1	1	4	1269	1057	37	19	96.939568	they
5	1	44	1	1	5	1313	1057	61	19	96.580482	publish
2	1	45	0	0	0	81	1077	270	23	-1	
3	1	45	1	0	0	81	1077	270	23	-1	
4	1	45	1	1	0	81	1077	270	23	-1	
5	1	45	1	1	1	81	1077	33	18	96.571365	the
5	1	45	1	1	2	121	1077	43	18	96.671478	dots
5	1	45	1	1	3	172	1077	36	18	95.890846	and
5	1	45	1	1	4	216	1077	59	18	95.890846	drives
5	1	45	1	1	5	284	1079	67	21	96.734360	impact
2	1	46	0	0	0	956	1070	44	30	-1	
3	1	46	1	0	0	956	1070	44	30	-1	
4	1	46	1	1	0	956	1070	44	30	-1	
5	1	46	1	1	1	956	1070	44	30	64.984314	>
2	1	47	0	0	0	1131	1108	179	19	-1	
3	1	47	1	0	0	1131	1108	179	19	-1	
4	1	47	1	1	0	1131	1108	179	19	-1	
5	1	47	1	1	1	1131	1108	97	19	96.870667	MEMBER
5	1	47	1	1	2	1237	1108	73	19	96.803947	VALUE
2	1	48	0	0	0	1131	1142	341	19	-1	
3	1	48	1	0	0	1131	1142	341	19	-1	
4	1	48	1	1	0	1131	1142	341	19	-1	
5	1	48	1	1	1	1131	1142	66	19	96.788818	Reports,
5	1	48	1	1	2	1209	1144	56	13	96.675941	events
5	1	48	1	1	3	1272	1142	31	15	96.675941	and
5	1	48	1	1	4	1310	1142	73	15	96.901634	selected
5	1	48	1	1	5	1390	1142	82	15	93.310471	discounts
2	1	49	0	0	0	83	1195	77	39	-1	
3	1	49	1	0	0	83	1195	77	39	-1	
4	1	49	1	1	0	83	1195	77	39	-1	
5	1	49	1	1	1	83	1194	77	40	36.945000	(oO
2	1	50	0	0	0	185	1214	217	20	-1	
3	1	50	1	0	0	185	1214	217	20	-1	
4	1	50	1	1	0	185	1214	217	20	-1	
5	1	50	1	1	1	185	1214	104	17	96.694344	Professional
5	1	50	1	1	2	296	1215	106	19	96.526329	membership
2	1	51	0	0	0	83	1229	78	50	-1	
3	1	51	1	0	0	83	1229	78	50	-1	
4	1	51	1	1	0	83	1229	78	50	-1	
5	1	51	1	1	1	83	1229	78	50	66.674042	\Q)
2	1	52	0	0	0	184	1245	251	20	-1	
3	1	52	1	0	0	184	1245	251	20	-1	
4	1	52	1	1	0	184	1245	251	20	-1	
5	1	52	1	1	1	184	1245	24	16	96.944817	for
